"filename", "language", "PHP", "SCSS", "JavaScript", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\Project3200\another_page.php", "PHP", 118, 0, 0, 0, 0, 0, 30, 23, 171
"c:\xampp\htdocs\Project3200\assets\css\style.css", "CSS", 0, 0, 0, 592, 0, 0, 42, 101, 735
"c:\xampp\htdocs\Project3200\assets\js\main.js", "JavaScript", 0, 0, 164, 0, 0, 0, 58, 26, 248
"c:\xampp\htdocs\Project3200\assets\vendor\animate.css\animate.compat.css", "CSS", 0, 0, 0, 2, 0, 0, 5, 0, 7
"c:\xampp\htdocs\Project3200\assets\vendor\animate.css\animate.css", "CSS", 0, 0, 0, 3693, 0, 0, 26, 354, 4073
"c:\xampp\htdocs\Project3200\assets\vendor\animate.css\animate.min.css", "CSS", 0, 0, 0, 2, 0, 0, 5, 0, 7
"c:\xampp\htdocs\Project3200\assets\vendor\bootstrap-icons\bootstrap-icons.css", "CSS", 0, 0, 0, 2070, 0, 0, 5, 4, 2079
"c:\xampp\htdocs\Project3200\assets\vendor\bootstrap-icons\bootstrap-icons.json", "JSON", 0, 0, 0, 0, 2052, 0, 0, 0, 2052
"c:\xampp\htdocs\Project3200\assets\vendor\bootstrap-icons\bootstrap-icons.min.css", "CSS", 0, 0, 0, 1, 0, 0, 4, 0, 5
"c:\xampp\htdocs\Project3200\assets\vendor\bootstrap-icons\bootstrap-icons.scss", "SCSS", 0, 2080, 0, 0, 0, 0, 5, 6, 2091
"c:\xampp\htdocs\Project3200\assets\vendor\bootstrap\css\bootstrap-grid.css", "CSS", 0, 0, 0, 3886, 0, 0, 6, 193, 4085
"c:\xampp\htdocs\Project3200\assets\vendor\bootstrap\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 1, 0, 0, 5, 0, 6
"c:\xampp\htdocs\Project3200\assets\vendor\bootstrap\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 3886, 0, 0, 6, 192, 4084
"c:\xampp\htdocs\Project3200\assets\vendor\bootstrap\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 1, 0, 0, 5, 0, 6
"c:\xampp\htdocs\Project3200\assets\vendor\bootstrap\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 518, 0, 0, 14, 65, 597
