"filename", "language", "CSS", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\Project3200\css\book.css", "CSS", 31, 0, 0, 5, 36
"c:\xampp\htdocs\Project3200\css\book_details.css", "CSS", 78, 0, 16, 20, 114
"c:\xampp\htdocs\Project3200\css\bootstrap.min.css", "CSS", 1, 0, 6, 0, 7
"c:\xampp\htdocs\Project3200\css\bootstrap\_media.css", "CSS", 11, 0, 0, 2, 13
"c:\xampp\htdocs\Project3200\css\bootstrap\mixins\_border-radius.css", "CSS", 0, 0, 0, 1, 1
"c:\xampp\htdocs\Project3200\css\bootstrap\mixins\_screen-reader.css", "CSS", 0, 0, 0, 1, 1
"c:\xampp\htdocs\Project3200\css\bootstrap\mixins\_visibility.css", "CSS", 0, 0, 0, 1, 1
"c:\xampp\htdocs\Project3200\css\bootstrap\utilities\_stretched-link.css", "CSS", 10, 0, 0, 1, 11
"c:\xampp\htdocs\Project3200\css\card.css", "CSS", 54, 0, 1, 9, 64
"c:\xampp\htdocs\Project3200\css\community.css", "CSS", 68, 0, 8, 14, 90
"c:\xampp\htdocs\Project3200\css\login.css", "CSS", 61, 0, 1, 9, 71
"c:\xampp\htdocs\Project3200\css\personalize.css", "CSS", 87, 0, 3, 13, 103
"c:\xampp\htdocs\Project3200\css\profile.css", "CSS", 47, 0, 4, 11, 62
"c:\xampp\htdocs\Project3200\css\searchbox.css", "CSS", 99, 0, 0, 17, 116
"c:\xampp\htdocs\Project3200\css\sidebar.css", "CSS", 55, 0, 3, 10, 68
"c:\xampp\htdocs\Project3200\css\signup.css", "CSS", 0, 0, 56, 1, 57
"c:\xampp\htdocs\Project3200\css\write_review.css", "CSS", 51, 0, 5, 8, 64
"c:\xampp\htdocs\Project3200\includes\community.inc.php", "PHP", 0, -25, -12, -9, -46
"c:\xampp\htdocs\Project3200\includes\dbh.inc.php", "PHP", 0, -9, 0, -2, -11
"c:\xampp\htdocs\Project3200\includes\functions.inc.php", "PHP", 0, -58, 0, -7, -65
"c:\xampp\htdocs\Project3200\includes\header.inc.php", "PHP", 0, -54, -1, -5, -60
"c:\xampp\htdocs\Project3200\includes\homepage.inc.php", "PHP", 0, -29, -5, -10, -44
"c:\xampp\htdocs\Project3200\includes\login.inc.php", "PHP", 0, -26, 0, -12, -38
"c:\xampp\htdocs\Project3200\includes\personalize.inc.php", "PHP", 0, -22, -9, -6, -37
"c:\xampp\htdocs\Project3200\includes\profile.inc.php", "PHP", 0, -30, -7, -8, -45
"c:\xampp\htdocs\Project3200\includes\read.inc.php", "PHP", 0, -17, -3, -4, -24
"c:\xampp\htdocs\Project3200\includes\search.inc.php", "PHP", 0, -12, -7, -8, -27
"c:\xampp\htdocs\Project3200\includes\signup.inc.php", "PHP", 0, -38, 0, -13, -51
"c:\xampp\htdocs\Project3200\includes\wishlist.inc.php", "PHP", 0, -17, -3, -4, -24
"c:\xampp\htdocs\Project3200\includes\write_review.inc.php", "PHP", 0, -42, -10, -9, -61
"Total", "-", 653, -379, 46, 26, 346
